left context,original word,right context,word correction,hun correction
,,,,
örtlichen,des,Warnungen,~,des
,,,,
Instrumentenladenbesitzers,örtlichen,des,~,örtlichen
,,,,
gelernt,Instrumentenladenbesitzers,örtlichen,~,Instrumentenladenbesitzers
,,,,
und,gelernt,Instrumentenladenbesitzers,~,gelernt
,,,,
spiele,und,gelernt,~,und
,,,,
bis,spiele,und,~,spiele
,,,,
heute,bis,spiele,~,bis
,,,,
auf,heute,bis,~,heute
,,,,
Lefty-Modellen,auf,heute,~,auf
,,,,
Den,Lefty-Modellen,auf,~,Oleftal-Modellen
,,,,
Gitarrenladen,Den,Lefty-Modellen,~,Den
,,,,
betrete,Gitarrenladen,Den,~,Gitarrenladen
,,,,
ich,betrete,Gitarrenladen,~,betrete
,,,,
übrigens,ich,betrete,~,ich
,,,,
nicht,übrigens,ich,~,übrigens
,,,,
mehr,nicht,übrigens,~,nicht
,,,,
seit,mehr,nicht,~,mehr
,,,,
ich,seit,mehr,~,seit
,,,,
bei,ich,seit,~,ich
,,,,
meinem,bei,ich,~,bei
,,,,
letzten,meinem,bei,~,meinem
,,,,
Besuch,letzten,meinem,~,letzten
,,,,
auf,Besuch,letzten,~,Besuch
,,,,
die,auf,Besuch,~,auf
,,,,
Frage,die,auf,~,die
,,,,
ob,Frage,die,~,Frage
,,,,
denn,ob,Frage,~,ob
,,,,
ein,denn,ob,~,denn
,,,,
paar,ein,denn,~,ein
,,,,
Lefty-Gitarren,paar,ein,~,paar
,,,,
da,Lefty-Gitarren,paar,~,Oleftal-Gitarren
,,,,
wären,da,Lefty-Gitarren,~,da
,,,,
die,wären,da,~,wären
,,,,
flapsige,die,wären,~,die
,,,,
Antwort,flapsige,die,~,flapsige
,,,,
bekam,Antwort,flapsige,~,Antwort
,,,,
Du,bekam,Antwort,~,bekam
,,,,
wirst,Du,bekam,~,Du
,,,,
nie,wirst,Du,~,wirst
,,,,
deine,nie,wirst,~,nie
,,,,
Traumgitarre,deine,nie,~,deine
,,,,
finden,Traumgitarre,deine,~,Traumgitarre
,,,,
ich,finden,Traumgitarre,~,finden
,,,,
hab's,ich,finden,~,ich
,,,,
dir,hab's,ich,~,Habits
,,,,
immer,dir,hab's,~,dir
,,,,
schon,immer,dir,~,immer
,,,,
gesagt,schon,immer,~,schon
,,,,
Naja,gesagt,schon,~,gesagt
,,,,
auf,Naja,gesagt,~,Nama
,,,,
die,auf,Naja,~,auf
,,,,
Rickenbacker,die,auf,~,die
,,,,
muss,Rickenbacker,die,~,Krickenbecker
,,,,
ich,muss,Rickenbacker,~,muss
,,,,
halt,ich,muss,~,ich
,,,,
noch,halt,ich,~,halt
,,,,
ein,noch,halt,~,noch
,,,,
Weilchen,ein,noch,~,ein
,,,,
sparen,Weilchen,ein,~,Weilchen
,,,,
-,sparen,Weilchen,~,sparen
,,,,
geht,Mir,-,ich,Mir
,,,,
es,geht,Mir,kann,geht
,,,,
genauso,es,geht,mir,es
,,,,
Aber,genauso,es,nicht,genauso
,,,,
ich,Aber,genauso,vorstellen,Aber
,,,,
bin,ich,Aber,dass,ich
,,,,
schon,bin,ich,man,bin
,,,,
mit,schon,bin,mit,schon
,,,,
meiner,mit,schon,einem,mit
,,,,
schwachen,meiner,mit,Messer,meiner
,,,,
linken,schwachen,meiner,besser,schwachen
,,,,
Hand,linken,schwachen,schneiden,linken
,,,,
besser,Hand,linken,kann,Hand
,,,,
als,besser,Hand,~,besser
,,,,
die,als,besser,~,als
,,,,
meisten,die,als,~,die
,,,,
Rechtshänder,meisten,die,~,meisten
,,,,
-,Rechtshänder,meisten,~,Rechtshänder
,,,,
sofort,Ab,-,Die,Ab
,,,,
gibt,sofort,Ab,Maus,sofort
,,,,
es,gibt,sofort,bediene,gibt
,,,,
auch,es,gibt,ich,es
,,,,
ein,auch,es,mit,auch
,,,,
D-Mail,ein,auch,rechts,ein
,,,,
Kultur,D-Mail,ein,sonst,D-Mail
,,,,
-,Kultur,D-Mail,mache,Kultur
,,,,
~,~,~,ich,~
,,,,
~,~,~,fast,~
,,,,
~,~,~,Ales,~
,,,,
~,~,~,mit,~
,,,,
~,~,~,links,~
,,,,
~,~,~,Ich,~
,,,,
~,~,~,schneide,~
,,,,
~,~,~,auch,~
,,,,
~,~,~,mit,~
,,,,
~,~,~,der,~
,,,,
~,~,~,linken,~
,,,,
~,~,~,Hand,~
,,,,
~,~,~,und,~
,,,,
~,~,~,wechsle,~
,,,,
~,~,~,dann,~
,,,,
~,~,~,zwischen,~
,,,,
~,~,~,Gabel,~
,,,,
~,~,~,und,~
,,,,
~,~,~,Messer,~
,,,,
~,~,~,und,~
,,,,
~,~,~,esse,~
,,,,
~,~,~,dann,~
,,,,
~,~,~,auch,~
,,,,
~,~,~,mit,~
,,,,
~,~,~,der,~
,,,,
~,~,~,Linken,~
,,,,
~,~,~,Ich,~
,,,,
~,~,~,hatte,~
,,,,
~,~,~,nie,~
,,,,
~,~,~,Schwierigkeiten,~
,,,,
~,~,~,habe,~
,,,,
~,~,~,mich,~
,,,,
~,~,~,immer,~
,,,,
~,~,~,angepasst,~
,,,,
~,~,~,aber,~
,,,,
~,~,~,das,~
,,,,
~,~,~,Einzige,~
,,,,
~,~,~,was,~
,,,,
~,~,~,ich,~
,,,,
~,~,~,mit,~
,,,,
~,~,~,beiden,~
,,,,
~,~,~,Händen,~
,,,,
~,~,~,gut,~
,,,,
~,~,~,kann,~
,,,,
~,~,~,ist,~
,,,,
~,~,~,wahrscheinlich,~
,,,,
~,~,~,das,~
,,,,
~,~,~,Klavierspielen,~
,,,,
~,~,~,Anfangs,~
,,,,
~,~,~,problemlos,~
,,,,
~,~,~,aber,~
,,,,
~,~,~,später,~
,,,,
~,~,~,doch,~
,,,,
~,~,~,spürbar,~
,,,,
~,~,~,dass,~
,,,,
~,~,~,für,~
,,,,
~,~,~,das,~
,,,,
~,~,~,Feinmotorische,~
,,,,
~,~,~,und,~
,,,,
~,~,~,Führende,~
,,,,
~,~,~,die,~
,,,,
~,~,~,LH,~
,,,,
~,~,~,besser,~
,,,,
~,~,~,ist,~
,,,,
~,~,~,und,~
,,,,
~,~,~,ich,~
,,,,
~,~,~,mehr,~
,,,,
~,~,~,die,~
,,,,
~,~,~,RH,~
,,,,
~,~,~,üben,~
,,,,
~,~,~,musste,~
,,,,
~,~,~,Das,~
,,,,
~,~,~,hat,~
,,,,
~,~,~,sowohl,~
,,,,
~,~,~,gute,~
,,,,
~,~,~,als,~
,,,,
~,~,~,auch,~
,,,,
~,~,~,schlechte,~
,,,,
~,~,~,Seiten,~
,,,,
~,~,~,ist,~
,,,,
~,~,~,aber,~
,,,,
~,~,~,sehr,~
,,,,
~,~,~,interessant,~
,,,,
~,~,~,Schreiben,~
,,,,
~,~,~,kann,~
,,,,
~,~,~,ich,~
,,,,
~,~,~,lesbar,~
,,,,
~,~,~,nur,~
,,,,
~,~,~,mit,~
,,,,
~,~,~,links,~
,,,,
~,~,~,und,~
,,,,
~,~,~,das,~
,,,,
~,~,~,-,~
,,,,
~,~,~,wurde,~
,,,,
~,~,~,mir,~
,,,,
~,~,~,gesagt,~
,,,,
~,~,~,-,~
,,,,
~,~,~,untypisch,~
,,,,
~,~,~,für,~
,,,,
~,~,~,eine,~
,,,,
~,~,~,Linkshänderin,~
,,,,
~,~,~,http,~
,,,,
~,~,~,//i57,~
,,,,
~,~,~,tinypic,~
,,,,
~,~,~,vom,~
,,,,
~,~,~,jogg,~
,,,,
Gangschaltung,Die,-,Linkshändigkeit,Die
,,,,
sollte,Gangschaltung,Die,ist,Gangschaltung
,,,,
sowieso,sollte,Gangschaltung,doch,sollte
,,,,
kein,sowieso,sollte,nicht,sowieso
,,,,
Problem,kein,sowieso,normal,kein
,,,,
sein,Problem,kein,ich,Problem
,,,,
Oder,sein,Problem,hab',sein
,,,,
sind,Oder,sein,ja,Oder
,,,,
in,sind,Oder,nichts,sind
,,,,
Großbritannien,in,sind,gegen,in
,,,,
alles,Großbritannien,in,Linkshänder,Großbritannien
,,,,
Linkshänder,alles,Großbritannien,aber,alles
,,,,
-,Linkshänder,alles,die,Linkshänder
,,,,
-,-,Linkshänder,sollen,-
,,,,
~,~,~,doch,~
,,,,
~,~,~,bitte,~
,,,,
~,~,~,ihre,~
,,,,
~,~,~,Veranlagung,~
,,,,
~,~,~,zuhause,~
,,,,
~,~,~,ausleben,~
,,,,
~,~,~,wer,~
,,,,
~,~,~,unbedingt,~
,,,,
~,~,~,linkshändig,~
,,,,
~,~,~,sein,~
,,,,
~,~,~,will,~
,,,,
~,~,~,soll,~
,,,,
~,~,~,das,~
,,,,
~,~,~,doch,~
,,,,
~,~,~,bitte,~
,,,,
~,~,~,für,~
,,,,
~,~,~,sich,~
,,,,
~,~,~,behalten,~
,,,,
~,~,~,und,~
,,,,
~,~,~,nicht,~
,,,,
~,~,~,die,~
,,,,
~,~,~,Öffentlichkeit,~
,,,,
~,~,~,damit,~
,,,,
~,~,~,belästigen,~
,,,,
~,~,~,und,~
,,,,
~,~,~,dass,~
,,,,
~,~,~,diese,~
,,,,
~,~,~,Leute,~
,,,,
~,~,~,gleiche,~
,,,,
~,~,~,rechte,~
,,,,
~,~,~,wie,~
,,,,
~,~,~,normale,~
,,,,
~,~,~,Menschen,~
,,,,
~,~,~,verlangen,~
,,,,
~,~,~,bzw.,~
,,,,
~,~,~,sogar,~
,,,,
~,~,~,bekommen,~
,,,,
~,~,~,ist,~
,,,,
~,~,~,ja,~
,,,,
~,~,~,wirklich,~
,,,,
~,~,~,arg,~
,,,,
~,~,~,ungleiches,~
,,,,
~,~,~,kann,~
,,,,
~,~,~,nicht,~
,,,,
~,~,~,gleich,~
,,,,
~,~,~,behandelt,~
,,,,
~,~,~,werden,~
,,,,
~,~,~,bald,~
,,,,
~,~,~,muss,~
,,,,
~,~,~,man,~
,,,,
~,~,~,sich,~
,,,,
~,~,~,ja,~
,,,,
~,~,~,sogar,~
,,,,
~,~,~,dafür,~
,,,,
~,~,~,rechtfertigen,~
,,,,
~,~,~,nicht,~
,,,,
~,~,~,linkshändig,~
,,,,
~,~,~,zu,~
,,,,
~,~,~,sein,~
,,,,
~,~,~,vielleicht,~
,,,,
~,~,~,geht,~
,,,,
~,~,~,manchen,~
,,,,
~,~,~,ein,~
,,,,
~,~,~,licht,~
,,,,
~,~,~,auf,~
,,,,
~,~,~,wenn,~
,,,,
~,~,~,sie,~
,,,,
~,~,~,das,~
,,,,
~,~,~,nächste,~
,,,,
~,~,~,mal,~
,,,,
~,~,~,in,~
,,,,
~,~,~,Bezug,~
,,,,
~,~,~,auf,~
,,,,
~,~,~,andere,~
,,,,
~,~,~,nicht,~
,,,,
~,~,~,normale,~
,,,,
~,~,~,Minderheiten,~
,,,,
~,~,~,solche,~
,,,,
~,~,~,Sprüche,~
,,,,
~,~,~,loslassen,~
,,,,
umgelernter,Bin,-,ich,Bin
,,,,
Linkshänder,umgelernter,Bin,bin,umgelernter
,,,,
hat,Linkshänder,umgelernter,so,Linkshänder
,,,,
aber,hat,Linkshänder,hundertprozentiger,hat
,,,,
nur,aber,hat,Rechtshänder,aber
,,,,
zum,nur,aber,dass,nur
,,,,
Schreiben,zum,nur,ich,zum
,,,,
gereicht,Schreiben,zum,beim,Schreiben
,,,,
Schneiden,gereicht,Schreiben,essen,gereicht
,,,,
werfen,Schneiden,gereicht,ständig,Schneiden
,,,,
mausen,werfen,Schneiden,zwischen,werfen
,,,,
Führungshand,mausen,werfen,Messer,mauen
,,,,
beim,Führungshand,mausen,und,Führungshand
,,,,
Prügeln,beim,Führungshand,Gabel,beim
,,,,
als,Prügeln,beim,wechsle,Prügeln
,,,,
Kind,als,Prügeln,ich,als
,,,,
alles,Kind,als,schneide,Kind
,,,,
links,alles,Kind,mit,alles
,,,,
Lechts,links,alles,dem,links
,,,,
und,Lechts,links,Messer,Lechs
,,,,
rinks,und,Lechts,rechts,und
,,,,
zu,rinks,und,aber,Drinks
,,,,
unterscheiden,zu,rinks,danach,zu
,,,,
bedarf,unterscheiden,zu,tausche,unterscheiden
,,,,
einer,bedarf,unterscheiden,ich,bedarf
,,,,
gehörigen,einer,bedarf,Messer,einer
,,,,
Denkleistung,gehörigen,einer,und,gehörigen
,,,,
Kein,Denkleistung,gehörigen,Gabel,Denkleistung
,,,,
Legastheniker,Kein,Denkleistung,aus,Kein
,,,,
aber,Legastheniker,Kein,um,Legastheniker
,,,,
seit,aber,Legastheniker,rechts,aber
,,,,
der,seit,aber,mit,seit
,,,,
Nägelbeißer,Volksschule,der,Gabel,Volksschule
,,,,
Ich,Nägelbeißer,Volksschule,die,Begeißelter
,,,,
kann,Ich,Nägelbeißer,speisen Stücke,Ich
,,,,
auch,kann,Ich,zum,kann
,,,,
links,auch,kann,Mund,auch
,,,,
etwas,links,auch,zu,links
,,,,
langsamer,etwas,links,führen,etwas
,,,,
schreiben,langsamer,etwas,weil,langsamer
,,,,
im,schreiben,langsamer,ich,schreiben
,,,,
Alltag,im,schreiben,links,im
,,,,
bemerke,Alltag,im,offenbar,Alltag
,,,,
ich,bemerke,Alltag,zu,bemerke
,,,,
keine,ich,bemerke,patschert,ich
,,,,
Probleme,keine,ich,dazu,keine
,,,,
weil,Probleme,keine,bin,Probleme
,,,,
die,weil,Probleme,das,weil
,,,,
ja,die,weil,passiert,die
,,,,
immer,ja,die,automatisch,ja
,,,,
schon,immer,ja,ohne,immer
,,,,
da,schon,immer,darüber,schon
,,,,
waren,da,schon,nachzudenken,da
,,,,
Dosenöffner,waren,da,ich,waren
,,,,
verwende,Dosenöffner,waren,hab,Dosenöffner
,,,,
ich,verwende,Dosenöffner,das,verwende
,,,,
keinen,ich,verwende,sonst,ich
,,,,
ist,keinen,ich,noch,keinen
,,,,
eh,ist,keinen,nie,ist
,,,,
nur,eh,ist,bei,eh
,,,,
unxundes,nur,eh,jemandem,nur
,,,,
Zeug,unxundes,nur,beobachtet,unrundes
,,,,
-,Zeug,unxundes,allerdings,Zeug
,,,,
~,~,~,schaue,~
,,,,
~,~,~,ich,~
,,,,
~,~,~,den,~
,,,,
~,~,~,Leuten,~
,,,,
~,~,~,beim,~
,,,,
~,~,~,essen,~
,,,,
~,~,~,auch,~
,,,,
~,~,~,nicht,~
,,,,
~,~,~,genau,~
,,,,
~,~,~,auf,~
,,,,
~,~,~,die,~
,,,,
~,~,~,Finger,~
,,,,
~,~,~,o,~
,,,,
mit,Das,-,ist,Das
,,,,
der,mit,Das,mir,mit
,,,,
Linkshändigkeit,der,mit,nicht,der
,,,,
war,Linkshändigkeit,der,bekannt,Linkshändigkeit
,,,,
mir,war,Linkshändigkeit,daher,war
,,,,
damals,mir,war,verstehe,mir
,,,,
gar,damals,mir,ich,damals
,,,,
nicht,gar,damals,nicht,gar
,,,,
bewusst,nicht,gar,warum,nicht
,,,,
Gut,bewusst,nicht,dann,bewusst
,,,,
als,Gut,bewusst,in,Gut
,,,,
GWD,als,Gut,den,als
,,,,
habe,GWD,als,Kindergärten,GWH
,,,,
ich,habe,GWD,alles,habe
,,,,
nur,ich,habe,nur,ich
,,,,
einmal,nur,ich,in,nur
,,,,
scharf,einmal,nur,Rechtshänder Ausführung,einmal
,,,,
schießen,scharf,einmal,vorhanden,scharf
,,,,
müssen,schießen,scharf,ist,schießen
,,,,
und,müssen,schießen,~,müssen
,,,,
da,und,müssen,~,und
,,,,
war,da,und,~,da
,,,,
ich,war,da,~,war
,,,,
nicht,ich,war,~,ich
,,,,
gut,nicht,ich,~,nicht
,,,,
was,gut,nicht,~,gut
,,,,
mir,was,gut,~,was
,,,,
aber,mir,was,~,mir
,,,,
wurscht,aber,mir,~,aber
,,,,
war,wurscht,aber,~,wurscht
,,,,
Und,war,wurscht,~,war
,,,,
bei,Und,war,~,Und
,,,,
den,bei,Und,~,bei
,,,,
Reservisten,den,bei,~,den
,,,,
auch,Reservisten,den,~,Reservisten
,,,,
einmal,auch,Reservisten,~,auch
,,,,
aber,einmal,auch,~,einmal
,,,,
da,aber,einmal,~,aber
,,,,
hat,da,aber,~,da
,,,,
keiner,hat,da,~,hat
,,,,
was,keiner,hat,~,keiner
,,,,
getroffen,was,keiner,~,was
,,,,
weil,getroffen,was,~,getroffen
,,,,
ein,weil,getroffen,~,weil
,,,,
wir,ein,weil,~,ein
,,,,
ein,wir,ein,~,wir
,,,,
Sauwetter,ein,wir,~,ein
,,,,
hatten,Sauwetter,ein,~,Sauwetter
,,,,
inkl,hatten,Sauwetter,~,hatten
,,,,
Nebel,inkl,hatten,~,inkl.
,,,,
und,Nebel,inkl,~,Nebel
,,,,
wir,und,Nebel,~,und
,,,,
nur,wir,und,~,wir
,,,,
sinnlos,nur,wir,~,nur
,,,,
in,sinnlos,nur,~,sinnlos
,,,,
der,in,sinnlos,~,in
,,,,
Gegend,der,in,~,der
,,,,
herumgeballert,Gegend,der,~,Gegend
,,,,
haben,herumgeballert,Gegend,~,herumgeballert
,,,,
Dafür,haben,herumgeballert,~,haben
,,,,
waren,Dafür,haben,~,Dafür
,,,,
in,waren,Dafür,~,waren
,,,,
der,in,waren,~,in
,,,,
2,der,in,~,der
,,,,
Woche,2,der,~,2
,,,,
war,Woche,2,~,Woche
,,,,
eine,war,Woche,~,war
,,,,
10-Tages-Übung,eine,war,~,eine
,,,,
die,10-Tages-Übung,eine,~,10-Tages-Übung
,,,,
Hälfte,die,10-Tages-Übung,~,die
,,,,
der,Hälfte,die,~,Hälfte
,,,,
Reservisten,der,Hälfte,~,der
,,,,
in,Reservisten,der,~,Reservisten
,,,,
allen,in,Reservisten,~,in
,,,,
möglichen,allen,in,~,allen
,,,,
Krankenrevieren,möglichen,allen,~,möglichen
,,,,
aufgeteilt,Krankenrevieren,möglichen,~,Krankenrevieren
,,,,
weil,aufgeteilt,Krankenrevieren,~,aufgeteilt
,,,,
sie,weil,aufgeteilt,~,weil
,,,,
sich,sie,weil,~,sie
,,,,
bei,sich,sie,~,sich
,,,,
der,bei,sich,~,bei
,,,,
unsinnigen,der,bei,~,der
,,,,
Aktion,unsinnigen,der,~,unsinnigen
,,,,
verkühlt,Aktion,unsinnigen,~,Aktion
,,,,
hatten,verkühlt,Aktion,~,verkühlt
,,,,
-,hatten,verkühlt,~,hatten
,,,,
mir,Was,-,gibt,Was
,,,,
von,mir,Was,es,mir
,,,,
den,von,mir,sie,von
,,,,
Profi-Sportschützen,den,von,Szene,den
,,,,
bekannt,Profi-Sportschützen,den,wo,Profi-Sportschützen
,,,,
ist,bekannt,Profi-Sportschützen,sein,bekannt
,,,,
gibt,ist,bekannt,Trainer,ist
,,,,
es,gibt,ist,anmerkt,gibt
,,,,
dort,es,gibt,das,es
,,,,
kaum,dort,es,rock,dort
,,,,
welche,kaum,dort,in,kaum
,,,,
die,welche,kaum,der,welche
,,,,
als,die,welche,Linksauslage,die
,,,,
Linksschützen,als,die,boxt,als
,,,,
aufgeführt,Linksschützen,als,was,Linksschützen
,,,,
sind,aufgeführt,Linksschützen,er,aufgeführt
,,,,
Ab,sind,aufgeführt,jedoch,sind
,,,,
und,Ab,sind,nicht,Ab
,,,,
zu,und,Ab,wirklich,und
,,,,
bei,zu,und,gutheißen,zu
,,,,
den,bei,zu,will,bei
,,,,
Gewehrschützen,den,bei,ja,den
,,,,
aber,Gewehrschützen,den,schlimmer,Gewehrschützen
,,,,
mehr,aber,Gewehrschützen,noch,aber
,,,,
oder,mehr,aber,er,mehr
,,,,
weniger,oder,mehr,merkt,oder
,,,,
keine,weniger,oder,sogar,weniger
,,,,
bei,keine,weniger,an,keine
,,,,
den,bei,keine,das,bei
,,,,
Pistolenschützen,den,bei,man,den
,,,,
-,Pistolenschützen,den,Boxer,Pistolenschützen
,,,,
~,~,~,in,~
,,,,
~,~,~,der,~
,,,,
~,~,~,Linksauslage,~
,,,,
~,~,~,gar,~
,,,,
~,~,~,nicht,~
,,,,
~,~,~,boxen,~
,,,,
~,~,~,lassen,~
,,,,
~,~,~,sollte,~
,,,,
~,~,~,Verletzungsgefahren,~
,,,,
~,~,~,stimmt,~
,,,,
~,~,~,das,~
,,,,
~,~,~,weiter,~
,,,,
~,~,~,im,~
,,,,
~,~,~,film,~
,,,,
~,~,~,wird,~
,,,,
~,~,~,rock,~
,,,,
~,~,~,dann,~
,,,,
~,~,~,untrainiert,~
,,,,
~,~,~,-,~
,,,,
~,~,~,er,~
,,,,
~,~,~,soll,~
,,,,
~,~,~,also,~
,,,,
~,~,~,mitten,~
,,,,
~,~,~,im,~
,,,,
~,~,~,Kampf,~
,,,,
~,~,~,von,~
,,,,
~,~,~,der,~
,,,,
~,~,~,Linksauslage,~
,,,,
~,~,~,in,~
,,,,
~,~,~,die,~
,,,,
~,~,~,Rechtsauslage,~
,,,,
~,~,~,wechseln,~
,,,,
~,~,~,und,~
,,,,
~,~,~,so,~
,,,,
~,~,~,seinen,~
,,,,
~,~,~,Gegner,~
,,,,
~,~,~,überraschen,~
,,,,
~,~,~,ist,~
,,,,
~,~,~,so,~
,,,,
~,~,~,etwas,~
,,,,
~,~,~,im,~
,,,,
~,~,~,profiboxbereich,~
,,,,
~,~,~,überhaupt,~
,,,,
~,~,~,denkbar,~
,,,,
~,~,~,oder,~
,,,,
~,~,~,typisch,~
,,,,
~,~,~,Hollywood,~
,,,,
Info,Diese,-,wir,Diese
,,,,
habe,Info,Diese,waren,Info
,,,,
ich,habe,Info,und,habe
,,,,
viele,ich,habe,sind,ich
,,,,
Jahre,viele,ich,aber,viele
,,,,
später,Jahre,viele,beide,Jahre
,,,,
auch,später,Jahre,Rechtshänder,später
,,,,
erhalten,auch,später,als,auch
,,,,
Nachdem,erhalten,auch,Kinder,erhalten
,,,,
ich,Nachdem,erhalten,machten,Nachdem
,,,,
bei,ich,Nachdem,wir,ich
,,,,
meinen,bei,ich,einen,bei
,,,,
Eltern,meinen,bei,Schikurs,meinen
,,,,
nachgefragt,Eltern,meinen,und,Eltern
,,,,
habe,nachgefragt,Eltern,waren,nachgefragt
,,,,
war,habe,nachgefragt,nicht,habe
,,,,
die,war,habe,in,war
,,,,
Antwort,die,war,der,die
,,,,
dass,Antwort,die,Lage,Antwort
,,,,
der,dass,Antwort,kurven,dass
,,,,
Volksschullehrer,der,dass,zu,der
,,,,
es,Volksschullehrer,der,lernen,Volksschullehrer
,,,,
trotzdem,es,Volksschullehrer,also,es
,,,,
versuchen,trotzdem,es,gab,trotzdem
,,,,
wollte,versuchen,trotzdem,uns,versuchen
,,,,
Meine,wollte,versuchen,beide,wollte
,,,,
Eltern,Meine,wollte,der,Meine
,,,,
haben,Eltern,Meine,Schilehrer,Eltern
,,,,
aufgrund,haben,Eltern,auf,haben
,,,,
von,aufgrund,haben,er,aufgrund
,,,,
Unwissenheit,von,aufgrund,nannte,von
,,,,
und,Unwissenheit,von,uns,Unwissenheit
,,,,
Derlehrerwirdschonwissenwasertut,und,Unwissenheit,untalentiert,und
,,,,
nichts,Derlehrerwirdschonwissenwasertut,und,und,Atmosphärenwissenschaftler
,,,,
unternommen,nichts,Derlehrerwirdschonwissenwasertut,unfähig,nichts
,,,,
-,unternommen,nichts,wir,unternommen
,,,,
~,~,~,nahmen,~
,,,,
~,~,~,das,~
,,,,
~,~,~,so,~
,,,,
~,~,~,zur,~
,,,,
~,~,~,Kenntnis,~
,,,,
~,~,~,Jahrzehnte,~
,,,,
~,~,~,später,~
,,,,
~,~,~,um,~
,,,,
~,~,~,die,~
,,,,
~,~,~,32j,~
,,,,
~,~,~,herum,~
,,,,
~,~,~,sind,~
,,,,
~,~,~,wir,~
,,,,
~,~,~,dann,~
,,,,
~,~,~,wieder,~
,,,,
~,~,~,auf,~
,,,,
~,~,~,die,~
,,,,
~,~,~,Schi,~
,,,,
~,~,~,gestiegen,~
,,,,
~,~,~,und,~
,,,,
~,~,~,haben,~
,,,,
~,~,~,uns,~
,,,,
~,~,~,beide,~
,,,,
~,~,~,Cramer,~
,,,,
~,~,~,gekauft,~
,,,,
~,~,~,komplette,~
,,,,
~,~,~,Ausrüstung,~
,,,,
~,~,~,dieses mal,~
,,,,
~,~,~,ohne,~
,,,,
~,~,~,Lehrer,~
,,,,
~,~,~,versucht,~
,,,,
~,~,~,einen,~
,,,,
~,~,~,halben,~
,,,,
~,~,~,tag,~
,,,,
~,~,~,nichts,~
,,,,
~,~,~,Außer,~
,,,,
~,~,~,stürze,~
,,,,
~,~,~,fabriziert,~
,,,,
~,~,~,am,~
,,,,
~,~,~,Nachmittag,~
,,,,
~,~,~,ging,~
,,,,
~,~,~,es,~
,,,,
~,~,~,dann,~
,,,,
~,~,~,langsam,~
,,,,
~,~,~,nach,~
,,,,
~,~,~,zwei,~
,,,,
~,~,~,drei,~
,,,,
~,~,~,Ausflügen,~
,,,,
~,~,~,fuhren,~
,,,,
~,~,~,wir,~
,,,,
~,~,~,dann,~
,,,,
~,~,~,sicher,~
,,,,
rechtshänder,bin,-,Ich,bin
,,,,
nur,rechtshänder,bin,Habes,Rechtshänder
,,,,
computermaus,nur,rechtshänder,so,nur
,,,,
ist,computermaus,nur,Löffel,Computermaus
,,,,
manchmal,ist,computermaus,Gabel,ist
,,,,
links^^,manchmal,ist,egal,manchmal
,,,,
-,links^^,manchmal,ob,links
,,,,
~,~,~,mit,~
,,,,
~,~,~,oder,~
,,,,
~,~,~,ohne,~
,,,,
~,~,~,Messer,~
,,,,
~,~,~,und,~
,,,,
~,~,~,Glas,~
,,,,
~,~,~,links,~
,,,,
~,~,~,Ist,~
,,,,
~,~,~,mir,~
,,,,
~,~,~,aber,~
,,,,
~,~,~,nicht,~
,,,,
~,~,~,wirklich,~
,,,,
~,~,~,wichtig,~
,,,,
~,~,~,-,~
,,,,
~,~,~,das,~
,,,,
~,~,~,Umsortieren,~
,,,,
~,~,~,auf,~
,,,,
~,~,~,meine,~
,,,,
~,~,~,Art,~
,,,,
~,~,~,passiert,~
,,,,
~,~,~,meist,~
,,,,
~,~,~,unbewusst,~
,,,,
~,~,~,Was,~
,,,,
~,~,~,aber,~
,,,,
~,~,~,speziell,~
,,,,
~,~,~,bei,~
,,,,
~,~,~,einem,~
,,,,
~,~,~,kleinen,~
,,,,
~,~,~,Tisch,~
,,,,
~,~,~,mit,~
,,,,
~,~,~,mehreren,~
,,,,
~,~,~,Gästen,~
,,,,
~,~,~,zu,~
,,,,
~,~,~,beachten,~
,,,,
~,~,~,ist,~
,,,,
~,~,~,Linkshänder,~
,,,,
~,~,~,rechts,~
,,,,
~,~,~,von,~
,,,,
~,~,~,Rechtshändern,~
,,,,
~,~,~,kann,~
,,,,
~,~,~,zu,~
,,,,
~,~,~,ungewollten,~
,,,,
~,~,~,Ellbogengefechten,~
,,,,
~,~,~,führen,~
,,,,
~,~,~,Ich,~
,,,,
~,~,~,sitzet,~
,,,,
~,~,~,daher,~
,,,,
~,~,~,immer,~
,,,,
~,~,~,lieber,~
,,,,
~,~,~,am,~
,,,,
~,~,~,linken,~
,,,,
~,~,~,Rand,~
,,,,
~,~,~,Wenn,~
,,,,
~,~,~,links,~
,,,,
~,~,~,ums,~
,,,,
~,~,~,Eck,~
,,,,
~,~,~,wieder,~
,,,,
~,~,~,ein,~
,,,,
~,~,~,Rechtshänder,~
,,,,
~,~,~,sitzt,~
,,,,
~,~,~,kannst,~
,,,,
~,~,~,dann,~
,,,,
~,~,~,aber,~
,,,,
~,~,~,dafür,~
,,,,
~,~,~,leicht,~
,,,,
~,~,~,zu,~
,,,,
~,~,~,Verwechslungen,~
,,,,
~,~,~,zwischen,~
,,,,
~,~,~,deren,~
,,,,
~,~,~,Glas,~
,,,,
~,~,~,auf,~
,,,,
~,~,~,der,~
,,,,
~,~,~,rechten,~
,,,,
~,~,~,und,~
,,,,
~,~,~,meinem,~
,,,,
~,~,~,auf,~
,,,,
~,~,~,der,~
