left context,original word,right context,Match Type,word correction,hun correction,Abkürzung,Eigenname,URL/Email,Englisch,Österreichisch
tuer,liess,sich,1,ließ,ließ,,,,,
ganz,oeffnen,weil,1,öffnen,öffnen,,,,,
bett,anstiess,der,1,anstieß,anstieß,,,,,
zum,glueck,kein,1,Glück,Glucke,,,,,
die,bettwaesche,war,2,Bettwäsche,betatsche,,,,,
viel,flair,und,3,flair,Flair,,,,,
gutes,indisches/pakistanisches,essen,2,indisches/pakistanisches,antipakistanisches,,,,,
das,voellig,wert,1,völlig,völlig,,,,,
einem,hostel,in,5,hostel,hüstel,,,,,
in,wien,abgestiegen,2,Wien,wein,,1,,,
unseren,fenster,so,1,Fenster,Fenster,,,,,
genauerer,inspektion,stellten,1,Inspektion,Inspektion,,,,,
tatsächlich,ausblick,in,1,Ausblick,Ausblick,,,,,
den,fahrstuhlschacht,gewährte,3,Fahrstuhl Schacht,Fahrstuhlschacht,,,,,
gewährte,xD,-,0,öd,xi,,,,,
einen,Nacht-Decksspaziergang,macht,3,Nacht-Decksspaziergang,Nacht-Deckspaziergang,,,,,
Orangen,aufgehübscht,werden,3,aufgeputscht,aufgehübscht,,,,,
Nil,runtertreiben,interessiert,2,runtertreiben,untertreiben,,,,,
-,Auweh,das,3,Auweh,Au weh,,,,,
von,indern,betriebene,2,Indern,intern,,,,,
einer,strasse,wo,2,Straße,stresse,,,,,
das,badezimmer,eigentlich,2,Badezimmer,bade zimmer,,,,,
und,wc,vollausgestattete,3,wo,WC,,,,,
vollausgestattete,plastikbox,ach,3,plastikbox,Plastikbox,,,,,
in,mexiko,unterwegs,1,Mexiko,Mexiko,,,,,
dem,auto,haben,3,auto,Auto,,,,,
eine,herberge,gesucht,3,herberge,Herberge,,,,,
wenn,auh,nur,2,auch,au,,,,,
unsere,ansprueche,aus,2,Ansprüche,anspreche,,,,,
aus,muedigkeitsgruenden,in,5,muedigkeitsgruenden,Mündigkeitserklärungen,,,,,
den,keller,geschraubt,2,Keller,kellre,,,,,
das,highlight,war,3,highlight,Highlight,,,,1,
einem,eientlich,wunderschoenen,1,eigentlich,eigentlich,,,,,
eientlich,wunderschoenen,spanischen,1,wunderschönen,wunderschönen,,,,,
spanischen,altbau,mit,1,Altbau,Altbau,,,,,
und,deckenmalereien,nur,1,Deckenmalereien,Deckenmalereien,,,,,
in,erbaermlichem,zustand,1,erbärmlichem,erbärmlichem,,,,,
waren,fuenf,leute,1,fünf,fünf,,,,,
fuenf,leute,in,1,Leute,Leute,,,,,
einem,altbauzimmer,4meter,3,Altbau Zimmer,Altbauzimmer,,,,,
altbauzimmer,4meter,whohe,2,4meter,-meter,,,,,
4meter,whohe,waende,1,hohe,hohe,,,,,
whohe,waende,ohne,2,Wände,wände,,,,,
alte,matratzen,der,1,Matratzen,Matratzen,,,,,
aufgestellten,plastik,gemuesekiste,1,Plastik,Plastik,,,,,
plastik,gemuesekiste,naja,5,gemuesekiste,gemusterte,,,,,
gemuesekiste,naja,in,0,naja,Maja,,,,,
der,frueh,waren,1,früh,früh,,,,,
mindestens,geschaetzte,50,1,geschätzte,geschätzte,,,,,
50,hostels,auf,5,hostels,Hostess,,,,,
15,stockwerken,mit,1,Stockwerken,Stockwerken,,,,,
unterschiedlichen,betreibern,und,1,Betreibern,Betreibern,,,,,
und,standards,unglaublich,3,standards,Standards,,,,,
verwinkelten,gaenge,und,2,Gänge,gegangen,,,,,
und,stiegenhaueser,kowloon,5,Stiegenhäuser,ausgestiegener,,1,,,
stiegenhaueser,kowloon,ist,2,Kowloon,Kolonen,,1,,,
architektonischer,organismus,-,1,Organismus,Organismus,,,,,
freizuschalten,Soo,schlimm,5,Soo,Solo,,,,,
jahrelangen,Usernamen,weiterhin,2,Usernamen,Usern amen,,,,,
neuer,Username,macht,2,Username,Ufername,,,,,
war,eh',kein,3,eh',eh,,,,,
ein,B&B,-,2,B&B,BOB,1,,,,
unter,Queenanne,Apartment,2,Queen Anne,Queensland,,,,,
in,Torquay,an,5,Toque,Torquai,,1,,,
einem,tolpatschigen,spanischen,2,tollpatschigen,tolpatschigen,,,,,
ich,staendig,mit,1,ständig,ständig,,,,,
konfrontiert,Ausserdem,schrie,1,Außerdem,Außerdem,,,,,
er,regelmässig,auf,1,regelmäßig,regelmäßig,,,,,
wäre,ev,gerne,5,er,es,1,,,,
von,Fawlty,Towers,5,Falt,Falte,,1,,,
den,Öffis,letztens,5,Offiz.,Steffis,,1,,,
Der,Kronleuchter-Demontierer,-,5,Demontierter,Kronleuchter-Demontieren,,,,,
solche,Skurrilitäten,bewundernswert,4,Skurrilität,Skurrilität,,,,,
nach,Chiang,Mai,2,Chiang,Tschiang,,1,,,
eine,Metallstrebe,sich,2,Metallstrebe,Metall strebe,,,,,
Speisen,Gatsch,mit,5,Gasch,Matsch,,,,,1
offiziell,A/C,ausgefallen,2,A/C,ABC,1,,,1,
Filmtitel,Frozen,Inhalt,2,Frozen,Fronen,,,,1,
Thai,Synchro,mit,2,Synchro,Synchron,,1,,,
die,härteste,Busfahrt,2,härteste,härtest,,,,,
einen,Tablet,gekauft,2,Tablet,Tablett,,,,1,
am,freitag,um,1,Freitag,Freitag,,,,,
0,uhr,sollten,1,Uhr,Uhr,,,,,
perfekte,durchorganisation,alleine,5,durch Organisation,durchorganisieren,,,,,
die,tatsache,dass,2,Tatsache,tatsche,,,,,
richtige,reihenfolge,bringen,2,Reihenfolge,reihen folge,,,,,
-,Juhuu,ich,0,Juhu,Juchhu,,,,,
-,*lool*,-,0,Look,*lool*,,,,,
das,Snoopy-Nachthemd,und,2,Snoopy-Nachthemd,Whoopy-Nachthemd,,1,,,
Paradox,isnt't,it,5,ist's,Isny,,,,1,
isnt't,it,-,2,it,IT,,,,1,
Liebe/r,Knjas,N,0,Kajas,Anjas,,,,,
möglichst,detailierten,Fehler-,1,detaillierten,detaillierten,,,,,
at,cln,-,0,Clan,Clan,,,,,
-,wrong,Hatte,2,wrong,wring,,,,1,
der,grumpy,car,2,grumpy,grummel,,,,1,
grumpy,car,Na,2,car,rar,,,,1,
grumpy,cat,sorry,2,cat,tat,,,,1,
die,postet,m,2,postet,prostet,,,,1,
ich,hör',nicht,5,hör',hör,,,,,
-,Hello,CityGirl,2,Hello,Holle,,,,1,
Hello,CityGirl,gratuliere,1,City Girl,City Girl,,1,,,
Dreifaches,Hurrahh,hurrah,1,Hurra,Hurra,,1,,,
Hurrahh,hurrah,hurrah,3,hurrah,hurra,,,,,
leicht,Studiensemesteranfang,aber,2,Studiensemesteranfang,Semesteranfangsparty,,,,,
noch,händisch,in,3,hündisch,händisch,,,,,
Institutstüren,getackert,waren,3,getickert,getackert,,,,,
lieber,DZE,Die,2,DZE,DE,1,,,,
derzeit,zuviel,für,1,Zuviel,Zuviel,,,,,
Die,gibt's,wohl,5,gibt's,gibt,,,,,
von,bildungsferneschicht,-,5,bildungsferneschicht,bildungsgeschichtlich,,,,,
als,nachportier,die,5,nachportier,Sachportier,,,,,
-,hahaha,DZE,0,hahaha,Hannah,,,,,
-,check,-,2,check,keck,,,,1,
geschmackloses,Prinzessinnenzimmer,für,2,Prinzessinnenzimmer,Prinzessinnen zimmer,,,,,
allem,Pipapo,beinahe,0,Pipapo,Papi,,,,,
die,Gratiscomedy,des,2,Gratiscomedy,Gratisnummer,,,,,
deren,würstchen,sind,1,Würstchen,Würstchen,,,,,
ist,müsli,im,1,Müsli,Müsli,,,,,
ich,wills,selber,5,wills,will,,,,,
im,stinkleeren,Hotel,5,stinkleeren,Stinktieren,,,,,
dafür,gehaßt,-,1,gehasst,gehasst,,,,,
essen,Blitzbesuff,alle,5,Blitzbesuff,Blitzblau,,,,,
und,dauerblau,sowie,2,dauerblau,Lautdauer,,,,,
nicht,hiersein,Einheimische,2,hier sein,Hiersein,,,,,
Tritt,grusligste,Ansprachen,2,grusligste,gruslige,,,,,
wir,white,girls,2,white,weite,,,,1,
white,girls,alles,2,girls,Girls,,,,1,
noch,grusligere,politische,2,grusligere,grusliger,,,,,
klar,Miefquirl,am,0,Miefquirl,Mietquirl,,,,,
dank,danieldüsentriebartigem,Einbau,0,danieldüsentriebartigem,zwiebelschalenartigem,,,,,
zu,Einschweißung,und,3,Ein Schweißung,Einschweißung,,,,,
Sekunde,Horizontalgymnastik,der,2,Horizontalgymnastik,Horizontaltgymnastik,,,,,
Reparatur,Inschallah,-,0,Inschallah,Infraschall,,,,,
des,hotels,etwas,3,hotels,Hotels,,,,,
im,hotelrestaurant,hatte,3,Hotel Restaurant,Hotelrestaurant,,,,,
längeres,stück,plastik,3,stück,Stück,,,,,
im,reis,beim,3,reis,Reis,,,,,
beim,kellner,reklamiert,2,Kellner,kellnre,,,,,
reklamiert,reaktion,er,1,Reaktion,Reaktion,,,,,
er,hats,mit,5,hats,hast,,,,,
den,findern,rausgezogen,1,Findern,Findern,,,,,
findern,rausgezogen,und,2,rausgezogen,ausgezogen,,,,,
guten,appetit,gewunschen,1,Appetit,Appetit,,,,,
appetit,gewunschen,ich,5,gewünschten,Segenswunsch,,,,,
ich,wußte,leider,1,wusste,wusste,,,,,
was,scherzkeks,auf,5,scherz Keks,Scherzens,,,,,
so,humorbefreit,sind,2,humorbefreit,humorfrei,,,,,
deinen,Followern,und,5,Volleren,Folterern,,,,,
Die,Grüns,von,0,Grüns,Grüna,,,,,
meinen,MitposterInnen,bedeuten,2,MitposterInnen,Mitosterpinnen,,,,,
so,btw,die,2,btw,BTX,1,,,1,
Premiere,*ein,ganz,1,*ein,ein,,,,,
weiter,watschel,*,2,watscheln,watschle,,,,,
Mal,ausgewatschelt,-,2,ausgewatschelt,aus gewatschelt,,,,,
mein,Posterherz,schlägt,5,Poster herz,Polsterherz,,,,,
Poster,Perry,aber,2,Perry,Jerry,,1,,,
aber,psss,nicht,0,pass,pass,,,,,
Sie,wuren,wegen,2,wurden,euren,,,,,
na,bum,-,0,bum,um,,,,,
-,Tsts,auf,0,Tests,Tests,,,,,
so,draufkommt,-,5,draufkommt,drauf kommt,,,,,
-,*äugt*,-,0,*äugt*,geäugt,,,,,
-,*schmelz*,-,0,Schmelz,Schmelz,,,,,
ihr,Locherlschwager,[504],2,Locherlschwager,Locheilschwager,,,,,1
und,Swingerclub,Bin,3,Swinger Club,Swingerclub,,,,,
das,OK,-,2,OK,LOK,1,,,,
ein,horror,-,3,horror,Horror,,,,,
Bryan,Ferry,kommen,2,Ferry,Jerry,,1,,,
Der,Padrone,hinter,2,Padrone,Patrone,,1,,,
seinem,launigsten,Lächeln,3,launigsten,launischsten,,,,,
den,90ern,als,2,90ern,Lernern,,,,,
seiner,Empoerung,ueber,1,Empörung,Empörung,,,,,
Empoerung,ueber,die,1,über,über,,,,,
waren,empoert,und,1,empört,empört,,,,,
ihn,rauschschmeissen,Andere,2,rausschmeißen,Rausschmissen,,,,,
Andere,amuesiert,weil,1,amüsiert,amüsiert,,,,,
angeblich,aehem,nicht,0,ehem.,ehemals,,,,,
-,2x,Bettwanzen,2,2x,ex,,,,,
-,XJam,Hört,0,Jam,Jamme,,,,,
meiner,Maturareise,2004,2,Maturareise,Matura reise,,,,,
Mann,inkl,Gepäck,1,inkl.,inkl.,,,,,
30,m²,Da,2,m²,ms,1,,,,
nur,Entspannungstäbchen,und,3,Entspannung Stäbchen,Entspannungsstäbchen,,,,,
im,Kombipaket,mit,2,Kombipaket,Kombihacke,,,,,
das,Dimitrow-Mausoleum,in,2,Dimitrow-Mausoleum,Dimitri-Mausoleum,,1,,,
den,Partezettel,am,0,Parte Zettel,Parteizettel,,,,,
der,Mann/Vater,und,2,Mann/Vater,Mannhafter,,,,,
-,Nepal-,Pokhara,2,Nepal-,Nepal,,,,,
Nepal-,Pokhara,-von,5,Pok Hara,Pharao,,1,,,
Pokhara,-von,Maoisten,2,-von,-bon,,,,,
kleines,bissl,außerhalb,4,biss,biss,,,,,1
mit,Jacuzzi-Düsen,usw,2,Jacuzzi-Düsen,Jazzig-Düsen,,1,,,
sanften,Draufsetzen,eingebrochen,3,Draufsetzen,Daraufsetzen,,,,,
der,Naehe,von,1,Nähe,Nähe,,,,,
So,abgesandelt,dass,5,abgewandelt,abgehandelt,,,,,1
Nach,Klobesuch,ging,2,Klobesuch,Discobesuch,,,,,
und,ueberschwemmte,das,1,überschwemmte,überschwemmte,,,,,
mit,Leintuechern,auf,1,Leintüchern,Leintüchern,,,,,
einen,pullover,wachsen,3,pullover,Pullover,,,,,
Hotel,Cristallo,1996,5,Crystals,Kristalloid,,1,,,
an,foren@derStandard,at,0,foren@derStandard,Referendarsforen,,,1,,
at,stn,-,0,Sten,Dtn,,,1,,
mal,ameisen,im,1,Ameisen,Ameisen,,,,,
einen,gecko,der,3,gecko,Gecko,,,,,
gute,unterkünfte,aus,1,Unterkünfte,Unterkünfte,,,,,
einer,Mörserranate,getroffen,3,Mörserranate,Mörsergranate,,,,,
Al,Rasheed,in,2,Rasheed,Rastede,,,1,,
in,Portionspackungen,wird,2,Portionspackungen,Portionierungen,,,,,
Das,'Ablaufdatum',ist,2,'Ablaufdatum',Talfestdatum,,,,,
eigenen,posts,nach,2,posts,Mosts,,,,1,
nach,pos/neg,stricherl-anzahl,5,Pos,Posener,,,,,
pos/neg,stricherl-anzahl,sortieren,5,stricheln,stricheln-anzahl,,,,,1
absolutes,maximum/minumum,geschaft,5,Maximum,Maximumsfunktion,,,,,
maximum/minumum,geschaft,haben,3,Geschäft,geschafft,,,,,
einen,artikel,der,1,Artikel,Artikel,,,,,
negativ,rekordhalter,war,1,Rekordhalter,Rekordhalter,,,,,
mit,abstand,glaub,1,abstand,Abstand,,,,,
ein,posting,bezgl,2,posting,Postieren,,,,1,
posting,bezgl,der,2,bezgl.,bezog,1,,,,
at/plink/3106877,_pid=7993448#pid7993448,-,0,päd.,_pid=7993448#pid7993448,,,1,,
geht,nit,-,5,nit,niet,,,,,1
//derstandard,at/3106877/Die-Simpsons-mit-Schoenheitsfehlern#posting-7993448,-,0,atz,at/3106877/Die-Simpsons-mit-Schoenheitsfehlern#posting-7993448,,,1,,
Archäologe,Habs,dann,5,Habs,Hans,,,,,
schnell,andersweitig,orientiert,1,anderweitig,anderweitig,,,,,
gegangen,*grün*,by,2,*grün*,grün,,,,1,
*grün*,by,the,2,by,Baby,,,,1,
by,the,way,2,the,ehe,,,,1,
the,way,-,2,way,was,,,,1,
-,Sandler,-,2,Sandler,Wandler,,1,,,
lesen,*hach*,-,0,*hach*,Schach,,,,,
werden,dannach,Astronautin,1,danach,danach,,,,,
Franz,Viehboeck,und,5,Viehböck,Viehbock,,1,,,
und,Jurassic,Park,4,Jurassisch,Jurassisch,,1,,1,
Park,natuerlich,Austronaut,1,natürlich,natürlich,,,,,
natuerlich,Austronaut,und,1,Astronaut,Astronaut,,,,,
und,Palaeontologe,Zusaetzlich,1,Paläontologe,Paläontologe,,,,,
Palaeontologe,Zusaetzlich,noch,1,Zusätzlich,Zusätzlich,,,,,
noch,Spieleerfinder,Heute,2,Spieleerfinder,Spielerfinder,,,,,
Geld,dafuer,-,1,dafür,dafür,,,,,
heut,sitz,ich,5,sitz,Sitz,,,,,
werden,*schnief*,-,0,*schnief*,schniefe,,,,,
-,Feldforschender,Biologe,2,Feldforschender,Feld forschender,,,,,
zur,Cobra,oder,3,CORBA,Kobra,,,,,
mein,Liveticker,nicht,2,Liveticker,Verklicker,,1,,1,
Tag,hackeln,muss,0,hakeln,hacken,,,,,
arbeiten,müßte,-,2,müsste,müsste,,,,,
-,Legomodellingenieur,-,2,Legomodellingenieur,Modellierungsfehler,,,,,
der,Radiologiesparte,Den,4,Radiologie sparte,Radiologie sparte,,,,,
Autos,raushängen,Nur,2,raushängen,aushängen,,,,,
-,förster,als,1,Förster,Förster,,,,,
dieser,beruf,erfordert,3,beruf,Beruf,,,,,
der,wunsch,im,1,Wunsch,Wunsch,,,,,
den,wald,gehe/radle,1,Wald,Wald,,,,,
wald,gehe/radle,ich,2,gehe/radle,Geradlage,,,,,
den,förstern,-,1,Förstern,Förstern,,,,,
Kevin,Kostner,-,2,Kostner,Kästner,,1,,,
per,RSS,feed,2,RSS,RISS,1,,,,
RSS,feed,-,2,feed,Fee,,,,1,
gleichzeitiger,arbeitslosigkeit,-,1,Arbeitslosigkeit,Arbeitslosigkeit,,,,,
eine,zeitlang,werden,4,Zeitlang,Zeitlang,,,,,
können,Aaaber,es,4,Araber,Araber,,,,,
weibliche,Tonfigur,-,2,Ton Figur,Tonfigur,,,,,
-,Prof,spricht,5,Prof,Profi,1,,,,
30,minuten,über,1,Minuten,Minuten,,,,,
gesamt,länge,der,3,länge,Länge,,,,,
und,Fundtiefe,Dann,2,Fundtiefe,Fund tiefe,,,,,
-,Fruchbarkeitsgöttin,Priesterin,3,Fruchbarkeitsgöttin,Fruchtbarkeitsgöttin,,,,,
den,weissen,Hintergrund,3,Weißen,weißen,,,,,
Text,Galaxy,S4,2,Galaxy,Galaxie,,,,1,
Galaxy,S4,mit,2,S4,Sh,,,,1,
zwar,Postman,-,0,Postman,Post man,,,,,
schon,befrüchtet,dabei,3,befruchtet,befürchtet,,,,,
zu,Schmetterlingszüchterin,oder,2,Schmetterlingszüchterin,Schmetterlingsforscherin,,,,,
dann,affenhirn,auf,3,Affen Hirn,Affenhirn,,,,,
auf,eis,serviert,2,Eis,sie,,,,,
das,herz,rausgerissen,3,herz,Herz,,,,,
herz,rausgerissen,hat,5,rausgerissen,ausgerissen,,,,,
hat,dacht,ich,5,dacht,sacht,,,,,
mir,vl,doch,5,vgl.,al,1,,,,
Oma,Küsser,geantwortet,5,Kesser,Küsse,,1,,,
wie,stehts,mit,5,stehst,stets,,,,,
Beispiel,interdimensionale,Wesen,2,interdimensionale,vierdimensionale,,,,,
Kristallschädel,brrrr,Im,0,Burr,bizarr,,,,,
auch,Fiona,genannt,2,Fiona,Fiktional,,1,,,
an,mobil@derstandard,at,0,mobil@derstandard,Kalibrierstandard,,,1,,
Die,Schriftgrösse,des,1,Schrittgröße,Schriftgröße,,,,,
dem,A+,-,2,A+,Aa,1,,,,
der,Top-Toolbar,ändern,2,Top-Toolbar,Top-Tool bar,,,,1,
Cool,Runnings,^^,5,Brünings,Rundging,,,,1,
die,Enterprise,das,2,Enterprise,Ernteprise,,,,1,
wollte,Forex,Trader,4,Foren,Foren,,1,,,
Forex,Trader,bei,2,Trader,Trauer,,,,1,
werden,Sorry,muss,2,Sorry,Story,,,,1,
dort,habens,eilig,4,Habens,Habens,,,,,
mit,kindern,zu,3,kindern,Kindern,,,,,
ich,arveite,bis,1,arbeite,arbeite,,,,,
Modus,Widescreen,ist,2,Widescreen,Widerreden,,,,1,
der,Homebutton,unten,2,Homebutton,Homecomputern,,,,1,
die,Topic-Scrollleiste,geben,5,Scroll leiste,Topik-Scrollleiste,,,,1,
*,No,offense,2,No,Not,,,,1,
No,offense,Aber,2,offense,offenes,,,,1,
ist,grottenhässlich,Das,2,grottenhässlich,grottenhäßlich,,,,1,
die,e-paper,Version,5,e-paper,-paper,,,,,
Test,Keep,on,2,Keep,Jeep,,,,1,
Keep,on,the,2,on,in,,,,1,
the,good,work,2,good,Godot,,,,1,
good,work,-,2,work,York,,,,1,
Jahre,Grisu,der,5,Graus,Ugrisch,,1,,,
beim,Dr,König,2,Dr.,Dur,1,,,,
ein,Nautikstudium,wechseln,2,Nautik Studium,Nautikstudent,,,,,
kein,Seediensttauglichkeitszeugnis,bisher,2,Seediensttauglichkeitszeugnis,Untauglichkeitskriterien,,1,,,
aber,Saunawachlerin,Jetzt,0,Saunawachlerin,Saunawachserin,,,,,
auf,derStandard,-,1,der Standard,der Standard,,,,,
-,Anthropophag,Meine,4,Anthropophage,Anthropophage,,,,,
funktionsfähige,Fussballticker,-,2,Fußball Ticker,Fußballerischer,,,,,
Ich,hängs,in,5,Hangs,hängst,,,,,
dahin,gezeichnet^^,Aber,2,gezeichnet^^,gezeichnet,,,,,
nicht,LOL,-,2,LOL,LOS,1,,,,
am,Amaturbrett,und,5,Amaturbrett,Amateurbrett,,,,,
klickt,irg,wo,5,arg,birg,1,,,,
4,KitKat,Gerät,2,KitKat,Kita,,1,,,
-,Now,Dr,5,Not,New,,,,1,
Dr,Ernest,Menville,2,Ernest,Ernst,,1,,,
Ernest,Menville,always,5,Melville,Villen,,1,,,
Menville,always,felt,5,Alays,Cutaways,,,,1,
always,felt,life,4,fehlt,fehlt,,,,1,
felt,life,begins,5,lief,liefe,,,,1,
life,begins,at,5,Begins,beginn,,,,1,
begins,at,50,5,atz,AT,,,,1,
weg,@Artikel,Ich,2,@Artikel,Artikel,,,1,,
Was,isses,geworden,5,Issas,Risses,,,,,1
//666kb,com/i/cthwbt4c3789voc4j,jpg,0,vom,com/i/cthwbt4c3789voc4j,,,1,,
von,Magie/Alchemie,fasziniert,2,Magie/Alchemie,Magnetochemie,,,,,
Interessensgebiet,#1,herauskristallisiert,2,#1,#,,,,,
zur,community,-,2,community,Kommunität,,,,1,
145,Lahre,lang,5,Lahrer,Lahr,,,,,
Terrorist,od,autodesigner,5,öd,Iod,,,,,
od,autodesigner,hat,3,Auto Designer,Autodesigner,,,,,
in,richtung,design,1,Richtung,Richtung,,,,,
richtung,design,entwickelt,3,design,Design,,,,,
Mit,ca,6,1,ca.,ca.,1,,,,
6,hollywoodstar,oder,1,Hollywood Star,Hollywoodstar,,,,,
oder,schlagersänger,würg,1,Schlagersänger,Schlagersänger,,,,,
wußte,ichs,besser,2,Ichs,ich,,,,,
einen,berufswunsch,-,3,Berufs wünsch,Berufswunsch,,,,,
schon,angfressen,auf,2,angefressen,anfressen,,,,,
http,//upload,wikimedia,0,Upload,Upload,,,1,,
//upload,wikimedia,org/wikipedia/commons/thumb/4/49/PlayStation-DualShock,0,Wikipedia,Wikimedia,,,1,,
wikimedia,org/wikipedia/commons/thumb/4/49/PlayStation-DualShock,jpg/1280px-PlayStation-DualShock,0,org.,org/wikipedia/commons/thumb/4/49/PlayStation-DualShock,,,1,,
jpg/1280px-PlayStation-DualShock,jpg,Ich,2,jpg,Apg,1,,,,
unteren,Toolbar,der,2,Toolbar,Tool bar,,,,1,
Linker,Poser,-,2,Poser,Pose,,1,,,
-,millionärin,in,1,Millionärin,Millionärin,,,,,
in,schilling,klamotte,3,schilling,Schilling,,,,,
schilling,klamotte,aus,1,Klamotte,Klamotte,,,,,
knallroten,autobus,bin,3,autobus,Autobus,,,,,
spät,draufgekommen,dass,2,draufgekommen,drauf gekommen,,,,,
berufe,handel,-,2,Handel,handel,,,,,
und,werd,berühmt,2,werde,werd,,,,,
Nacht,rumflattern,Und,2,rumflattern,umflattern,,,,,
alle,SeaQuest,Städte,5,Sequester,Seequast,,1,,,
und,Sparziergeher,wäre,2,Sparziergeher,Sparzierseher,,,,,
-,Soabald,ich,1,Sobald,Sobald,,,,,
dem,Play,Store,2,Play,Pley,,,,1,
Play,Store,-->,2,Store,Sorte,,,,1,
aktuellen,STand,-,1,Stand,Stand,,,,,
immer,gemeinsamkeiten,wenn,1,Gemeinsamkeiten,Gemeinsamkeiten,,,,,
-,Freundesbüchern,sehe,2,Freundesbüchern,Freundespflicht,,,,,
nicht,ineressiert,Hab,1,interessiert,interessiert,,,,,
dann,HTL,gemacht,0,HTL,HL,,,,,
Eltern,bedeudet,Die,1,bedeutet,bedeutet,,,,,
-,engineer,auf,5,Engineering,Reengineering,,,,1,
einem,raumschiff,nun,1,Raumschiff,Raumschiff,,,,,
ich,system,administrator,1,System,System,,,,,
system,administrator,in,1,Administrator,Administrator,,,,,
weltweiten,konzernen,nicht,1,Konzernen,Konzernen,,,,,
daran,koennte,mich,1,könnte,könnte,,,,,
fuer,entwicklung,in,1,Entwicklung,Entwicklung,,,,,
in,cybernetic,oder,5,Kybernetik,kybernetisch,,,,1,
automatischer,lebensformen,sehen,1,Lebensformen,Lebensformen,,,,,
eine,staffelei,steht,1,Staffelei,Staffelei,,,,,
die,muse,küsst,1,Muse,Muse,,,,,
Auguste,Lechner,verseucht,2,Lechner,Rechner,,1,,,
u,stronaut,Mark,1,Astronaut,Astronaut,,,,,
Mark,Brandis,im,2,Brandis,Brands,,1,,,
mit,physik,können,1,Physik,Physik,,,,,
und,chemie,-,1,Chemie,Chemie,,,,,
-,musiker,schauspieler,1,Musiker,Musiker,,,,,
musiker,schauspieler,polizist,2,Schauspieler,schauspielre,,,,,
schauspieler,polizist,irgendwas,1,Polizist,Polizist,,,,,
der,OMV,oder,2,OMV,VOM,1,,,,
auf,Stationsvorstand,geändert,2,Stationsvorstand,Sektionsvorstand,,,,,
das,Wifi,anbietet,4,Wiki,Wiki,,1,,1,
ganztägiges,Legospielen,im,2,Legospielen,Lego spielen,,,,,
einer,Palmersfiliale,weil,2,Palmersfiliale,Pfarrersfamilie,,1,,,
grünen,Dressen,so,0,Dressen,Dresden,,,,,
*,Liftboy,-,5,Lift Boy,Luftboy,,,,,
der,Civilization,Reihe,2,Civilization,Zivilisation,,,,1,
geübt,uh,kennt,0,uh,Kuh,,,,,
jemand,Ökolopoly,https,2,Ökolopoly,Ökologe,,1,,,
Ökolopoly,https,//www,0,https,http,,,1,,
auf,Civ,-,0,Cave,Div,,,,,
-,Beyond,Earth,5,Beyene,Betonend,,,,1,
Beyond,Earth,umsteigen,2,Earth,Barth,,,,1,
Global,Warming,einen,5,Warnung,Warmring,,,,1,
Dr,Grant,in,2,Grant,Gran,,1,,,
liest,vergangenheits,ich,5,Vergangenheit,Vergangenheitsdaten,,,,,
nicht,terrorist,wolltest,1,Terrorist,Terrorist,,,,,
zum,islam,konvertieren,1,Islam,Islam,,,,,
oder,Paläantologe,Darob,1,Paläontologe,Paläontologe,,,,,
Paläantologe,Darob,hab,3,Dar ob,Darob,,,,,1
-,Ams-Betreuer,-,0,Am,Amts-Betreuer,,,,,
mit,Antoine,Ibaka,2,Antoine,Antoinette,,1,,,
Antoine,Ibaka,und,5,Abaka,Akaba,,1,,,
Iwan,Stroganoff,Grischa,2,Stroganoff,Ganzstoff,,1,,,
Stroganoff,Grischa,Romen,5,Griesche,Wagrisch,,1,,,
Grischa,Romen,Die,5,Roman,Rosen,,1,,,
meine,Hobbies,-,2,Hobbies,Hobbes,,,,,
-,Naturwissenschaft/Technik,-,2,Naturwissenschaft/Technik,Naturwissenschaftstechnik,,,,,
Jahre,Frühpensionist,-,2,Frühpensionist,Frühpensionierst,,,,,
-,Jedi,Ritter,2,Jedi,Jede,,1,,,
Toni,Innauers,Kinn,2,Innauers,Nassauers,,1,,,
dann,Keith,Richards,2,Keith,Keilit,,1,,,
aber,start,me,4,Start,Start,,,,1,
start,me,up,5,mea,ms,,,,1,
me,up,hab,4,um,um,,,,1,
and,you,know,5,Yous,YouTube,,,,1,
you,know,it,5,Knop,Knox,,,,1,
know,it,never,5,ist,IT,,,,1,
it,never,work,5,neuer,nerve,,,,1,
never,work,in,5,werk,York,,,,1,
in,regular,tuning,5,Regular,regulär,,,,1,
regular,tuning,-,5,Tuning,Turing,,,,1,
Berufswunsch,Pensionist,an,2,Pensionist,Pension ist,,,,,
den,Playstore,hochgeladen,2,Playstore,Plastome,,,,1,
auf,Android-Versionen,&gt,3,Androide,Android-Versionen,,,,,
Android-Versionen,&gt,=,0,gut,ggT,,,1,,
deinen,traum,aufgeben,1,Traum,Traum,,,,,
Kind,Gheorghe,Hagi,2,Gheorghe,Georgshöhe,,1,,,
Gheorghe,Hagi,werden,2,Hagi,Hai,,1,,,
Später,Totti,dann,5,Tutti,Tito,,,,,
dann,Jaap,Stam,2,Jaap,Japan,,,,,
Jaap,Stam,-,5,Stamm,Sam,,1,,,
viele,Nerd-Punkte,krieg,5,Nord,Nord-Punkte,,,,,
das,nachlernen,von,2,nachlernen,nach lernen,,,,,
